TRACK_ID,classical,electronic,folk,hiphop,jazz,rock
track_1147710,0,1,0,0,0,0
track_1103990,0,0,0,0,0,1
track_1131488,0,0,0,0,1,0
track_1198188,0,1,0,0,0,0
track_0245962,0,0,1,0,0,1
track_0719849,0,0,0,0,1,0
track_0736523,0,1,0,1,0,0
track_1129658,0,0,0,0,0,1
track_1379947,0,0,0,0,0,1
track_0846411,0,0,0,0,1,0
track_0131632,0,0,0,0,0,1
track_0802326,0,0,0,1,0,0
track_0625206,0,0,0,0,1,0
track_0939255,0,0,0,1,1,0
track_0168403,0,0,0,0,0,1
track_0383573,0,0,0,1,0,0
track_1351134,0,0,1,0,0,1
track_0035173,0,1,0,0,0,0
track_1233768,0,0,1,0,0,0
track_1023273,1,0,0,0,0,0
track_0026219,0,1,0,0,1,0
track_0553091,0,0,0,1,0,0
track_1347896,1,0,0,0,0,0
track_0171074,0,0,1,0,0,0
track_1052660,0,0,0,0,0,1
track_0842757,1,0,0,0,0,0
track_0162045,0,0,1,0,0,1
track_1149234,0,1,0,0,0,0
track_0711277,0,0,0,1,1,0
track_1132736,0,1,0,0,0,0
track_0773674,0,0,1,0,0,0
track_0986866,0,0,0,0,1,0
track_1163967,0,0,1,0,0,0
track_1367768,0,0,1,0,0,0
track_1088383,0,0,0,0,1,0
track_1098068,0,1,0,1,0,0
track_1194604,0,0,0,0,1,0
track_0723360,0,0,0,0,0,1
track_0511074,0,0,1,0,0,0
track_1137247,0,1,0,1,0,0
track_1103321,0,0,0,0,0,1
track_1098831,0,0,1,0,0,1
track_1417008,1,0,0,0,0,0
track_1052565,0,0,0,1,0,0
track_1009061,1,0,0,0,0,0
track_0350359,1,0,0,0,0,1
track_1105603,0,0,1,0,0,0
track_1274166,1,0,0,0,0,0
track_0989877,0,1,0,1,0,0
track_1113645,0,0,0,0,1,0
track_1339384,0,0,1,0,0,1
track_0166333,0,0,0,0,1,0
track_1196185,1,0,1,0,0,0
track_1160157,0,0,1,0,0,0
