track_id,split
track_1147710,train
track_1103990,validation
track_1131488,train
track_1198188,train
track_0245962,test
track_0719849,train
track_0736523,test
track_1129658,train
track_1379947,train
track_0846411,train
track_0131632,test
track_0802326,test
track_0625206,train
track_0939255,validation
track_0168403,train
track_0383573,train
track_1351134,test
track_0035173,train
track_1233768,validation
track_1023273,train
track_0026219,validation
track_0553091,validation
track_1347896,validation
track_0171074,train
track_1052660,test
track_0842757,train
track_0162045,train
track_1149234,train
track_0711277,train
track_1132736,train
track_0773674,train
track_0986866,train
track_1163967,validation
track_1367768,train
track_1088383,train
track_1098068,validation
track_1194604,validation
track_0723360,train
track_0511074,train
track_1137247,train
track_1103321,train
track_1098831,train
track_1417008,train
track_1052565,train
track_1009061,train
track_0350359,train
track_1105603,train
track_1274166,train
track_0989877,train
track_1113645,train
track_1339384,train
track_0166333,train
track_1196185,train
track_1160157,validation
track_1164968,test
track_0741321,train
track_0081020,train
track_1158178,train
track_1145836,train
track_0661313,train
track_1222347,test
track_1137272,train
track_1399581,train
track_0271744,train
track_0976782,test
track_1113991,train
track_0245387,train
track_1243735,train
track_0914765,train
track_0135244,train
track_1332180,train
track_0498810,train
track_1083510,train
track_1109965,train
track_0946828,test
track_1124249,train
track_0704838,validation
track_1227396,train
track_1080900,test
track_0742888,train
track_1165508,train
track_1236047,test
track_0998079,train
track_1228623,validation
track_1374954,train
track_1248561,train
track_0015169,train
track_0205736,train
track_1190958,train
track_1179410,train
track_0113791,train
track_0296237,train
track_1023486,train
track_0938052,train
track_0272910,test
track_0129978,train
track_0136840,train
track_1067291,validation
track_0088554,train
track_1159696,train
track_1268732,train
track_1129657,train
track_0402576,train
track_1416534,train
track_1126082,train
track_1317901,validation
track_1078474,train
track_1103452,train
track_1332223,train
track_1417903,train
track_0913291,train
track_1150099,validation
track_0919356,validation
track_1372874,train
track_0166583,test
track_1051952,validation
track_1165995,train
track_0903596,train
track_1164567,test
track_0293161,train
track_1123291,train
track_1040015,train
track_0425766,train
track_1115634,train
track_0858536,train
track_1251313,validation
track_0957457,train
track_0077441,validation
track_1348657,test
track_1374304,train
track_0277804,train
track_1105052,train
track_1222001,train
track_1077278,validation
track_0890461,train
track_0470753,train
track_0965601,test
track_1159669,test
track_1095024,train
track_0764605,test
track_1365242,test
track_1170403,validation
track_0154635,train
track_1225501,train
track_0278336,train
track_0571484,train
track_1118601,train
track_1093649,test
track_1134585,test
track_0716963,train
track_0150962,train
track_1078367,train
track_1153116,train
track_0006719,train
track_1315940,train
track_0188505,test
track_1054172,train
track_0768437,train
track_0941153,train
track_1095021,validation
track_1111986,train
track_0415498,train
track_1374256,train
track_1060333,train
track_1289378,test
track_0988503,validation
track_1041677,train
track_0618448,train
track_0084042,train
track_1102230,train
track_1078823,train
track_0868977,validation
track_1076577,train
track_1416237,test
track_1248256,test
track_0976923,train
track_1189098,train
track_1219476,train
track_0964541,train
track_1293735,train
track_1131491,train
track_0941158,train
track_1276895,test
track_0461019,train
track_1054399,train
track_0991719,train
track_0891605,test
track_1403968,train
track_1401972,train
track_1228858,train
track_1051068,test
track_1129798,validation
track_1307835,train
track_1071852,train
track_1068666,train
track_1169708,train
track_1131495,train
track_1397808,train
track_0618459,train
track_1413875,train
track_1049275,test
track_0802281,validation
track_1158971,validation
track_1074710,train
track_1379949,train
track_1110506,train
track_0608931,train
track_0811237,train
track_1072427,train
track_1166925,train
track_1393523,train
track_0873560,train
track_1081529,train
track_0096718,validation
track_0836526,train
track_0989879,test
track_1397164,train
track_1360555,train
track_1203323,train
track_1125843,train
track_1115567,train
track_0357514,train
track_1035011,train
track_1037056,train
track_1127772,test
track_0405783,train
track_1415108,train
track_1368387,train
track_1223282,train
track_1132969,train
track_1107063,train
track_0264329,train
track_1413863,train
track_1123937,train
track_0416474,train
track_1257250,validation
track_1163971,validation
track_1284690,train
track_1208243,train
track_0021982,train
track_1371499,train
track_1071300,train
track_1057725,validation
track_1340349,train
track_1076580,train
track_1150744,train
track_1083511,test
track_1320575,train
track_0383567,train
track_1027875,train
track_0079748,validation
track_0855269,train
track_1044568,train
track_1111539,test
track_1052562,train
track_0414049,train
track_0259843,train
track_1295769,train
track_1143990,test
track_1256026,train
track_1217511,train
track_1087153,validation
track_1075176,test
track_0919353,train
track_1069084,validation
track_1414831,train
track_1089272,train
track_0686758,train
track_1098677,train
track_1075169,train
track_1137238,train
track_1112025,validation
track_1313335,train
track_1111542,train
track_1131565,validation
track_1416193,validation
track_1133089,train
track_1077725,test
track_1398418,train
track_0873805,train
track_0485059,train
track_1203372,validation
track_1346207,test
track_1374953,test
track_0565805,train
track_1156029,validation
track_1163228,train
track_0006729,train
track_1313337,train
track_0785281,test
track_0902298,train
track_1374689,train
track_1015038,train
track_1234363,train
track_1168165,train
track_1227368,train
track_1320009,train
track_0957460,train
track_1086668,train
track_1277840,test
track_1351591,train
track_0989872,validation
track_0151133,test
track_0020740,train
track_1087734,train
track_1084672,test
track_0078315,validation
track_1063106,train
track_0207733,train
track_1369861,validation
track_1027608,train
track_0205081,test
track_1251851,test
track_1073718,train
track_1389557,train
track_0900243,train
track_0718510,test
track_1165515,train
track_1341040,train
track_1291218,train
track_1089263,validation
track_0076657,train
track_1208442,train
track_1284340,train
track_0457120,train
track_1080166,train
track_1294702,train
track_0659903,train
track_0307384,train
track_0347819,validation
track_0259858,train
track_1296703,train
track_0111509,train
track_1026042,train
track_1190623,train
track_1381058,train
track_0991720,train
track_0959968,train
track_0460237,validation
track_1394568,train
track_0074602,test
track_1272099,test
track_1207987,validation
track_0976785,train
track_1418015,train
track_1257007,validation
track_0810890,train
track_0965446,train
track_1160599,train
track_1345306,train
track_0080769,train
track_0020944,train
track_1229310,train
track_1057735,test
track_0922740,train
track_1032923,test
track_1018531,test
track_0941345,test
track_0025877,validation
track_1028806,train
track_0911868,train
track_1154902,train
track_1076452,validation
track_0647537,train
track_0259807,train
track_0806979,validation
track_0723356,train
track_1159670,train
track_0711254,train
track_1164980,train
track_1394565,train
track_0034520,train
track_1328087,test
track_0081287,train
track_0698107,train
track_1372288,test
track_1194312,train
track_1341271,test
track_1024405,train
track_1078441,validation
track_0150861,train
track_1112020,train
track_0965968,train
track_1369415,train
track_0134754,train
track_1381057,train
track_1133071,train
track_0491056,train
track_1319999,train
track_1366003,test
track_1079297,train
track_1164983,train
track_1207899,validation
track_0673573,train
track_1157324,train
track_0806977,validation
track_0078728,validation
track_1412813,test
track_1084481,train
track_1012594,train
track_1176229,test
track_1203320,train
track_0827272,train
track_1269115,train
track_0956545,train
track_1330452,train
track_1362247,train
track_1135189,train
track_1131574,train
track_0773681,test
track_1291477,train
track_1243719,train
track_1379936,validation
track_1317900,train
track_0026232,train
track_1089159,train
track_0542411,train
track_0571474,test
track_1185783,train
track_1271442,train
track_0131569,train
track_1414159,train
track_1136881,train
track_1404303,train
track_1157598,validation
track_1248260,train
track_1143941,train
track_0647520,train
track_0889218,train
track_0977189,train
track_1247308,train
track_0906585,train
track_1179726,train
track_1029329,train
track_1130018,train
track_1315246,train
track_0953637,validation
track_0005087,train
track_1168553,train
track_1310243,train
track_0041971,test
track_1227102,train
track_1267347,test
track_1234358,train
track_1321087,train
track_0784880,train
track_0901204,train
track_1349480,train
track_0713736,train
track_0151066,train
track_0883574,validation
track_1379953,train
track_1072432,train
