track_id,path,instrument_vector,rhythm_vector,timbre_vector,harmony_vector,genre
track_1147710,/content/drive/MyDrive/MTG_Instrument_old/dataset/logmel_songs/10/1147710.npy,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.2364318664367547, 0.9418503938390411, 0.0003685153513630926, 0.23829949723638388, 0.0007951036519322814, 0.0010807233917877622, 0.014728232634939116, 0.0033873439562579714, 0.0009091840589932927, 1.636005712504948e-05]","[0.34313687012464733, 0.19196069535458826, 0.43539352450467095, 0.12949702866830692, 0.003493046143119898, 1.1161707952541653e-08, 0.7988245932223302, -8.782713977598668e-05, 3.278023898731132e-06, -0.016277944436187422, 0.018356392858409915, 0.005920974320738523, 0.004346557747778942, 0.001563812242924022, 0.0025940344815264488, 0.0012678568003714954, 0.001308421910209586, 0.00013725998657476175, 0.0005385680122383808, -0.0003172128955757352, 0.0009060849942840436, -8.906187121343059e-05, 0.013432123609434209, 0.006702641445749915, 0.004199430847113461, 0.0027408408608869976, 0.0017428288542832297, 0.0018648292940247602, 0.0014523447270665204, 0.0015052219273990338, 0.0013809248420330906, 0.0012964011639764502, 0.001209793018940888, 0.0010127792089767889, 0.001079388452316782]","[0.1260531478654892, 0.02524655846826719, 0.6815068366738694, 0.015473349179682593, 0.017081072715925755, 0.0056064286280178245, 0.023463259794283143, 0.010254028796873472, 0.716619190860842, 0.032549848807254554, -0.01651395245106302, 0.054111823882040944]","[0.0,1.0,0.0,0.0,0.0,0.0]"
track_1103990,/content/drive/MyDrive/MTG_Instrument_old/dataset/logmel_songs/90/1103990.npy,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.24279242588015423, 0.9391615530888486, 0.00034759861518603147, 0.24288660855746086, 0.00038711433878293257, 0.0012939963601319047, 0.0051444734671092195, 0.002000566345520946, 0.0010442186247560613, 8.452245264005056e-05]","[0.3933061891468362, 0.18086363877226613, 0.3903016310464954, 0.12237331382729387, 0.0043664700171168825, 2.5958391939088606e-08, 0.8024719330499197, 0.0004101384359927267, 2.439337567058795e-06, -0.016469438648994538, 0.018016826861756687, -0.002027200093990695, 0.0064046921098050175, 0.0002272842800716499, -0.0002845208825540418, -0.0001678917139589531, 0.0004970454524609876, -0.0008907783368411148, 0.00012454914483529862, -0.0008376661631995219, 0.0003510191944188807, -0.001576762051531349, 0.023392997258435487, 0.007610543419726207, 0.004259396146414476, 0.0036266363356053616, 0.002119948232043516, 0.00207291916901178, 0.0016408418396158825, 0.0015231294734940387, 0.0014554382503550276, 0.0020666314558723665, 0.0013165242309123352, 0.0014049146813689096, 0.0013052228665087673]","[0.18120180743757355, 0.10702459756991874, 0.6457273630201918, 0.08901182424151308, 0.024356232632823768, 0.014449364162655468, 0.0368209640747006, 0.023948547170664986, 0.7182730007606102, 0.10197297868423132, 0.0018664359083705644, 0.042134382663205704]","[0.0,0.0,0.0,0.0,0.0,1.0]"
track_1131488,/content/drive/MyDrive/MTG_Instrument_old/dataset/logmel_songs/88/1131488.npy,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.24100839337181754, 0.9401327577060395, 4.045173856441394e-05, 0.2407872976422248, 0.0007814338262869949, 0.0008752257355809673, 0.008977884003748236, 0.0020511335967165517, 0.0007982865760340191, 6.63294567761246e-05]","[0.3660726997789181, 0.10135347522944851, 0.42573252750395363, 0.06783963311041157, 0.0040321176862818005, 2.133822949825978e-08, 0.8176978521818604, 0.0003618844455867277, 2.6136838795198374e-06, -0.028840931306577805, 0.015281385490220014, 0.00022290742826116842, 0.004034146132488501, 0.001391479364729555, 0.0012957442085718748, 0.0002346938347507805, -0.0005947856011218266, -0.0022576353730543257, -0.0009238003320837935, -0.0010691821721301646, -0.0008269046567149645, -0.0005723361964097461, 0.009351130318357123, 0.003883566208114457, 0.002695771834770549, 0.0019024552891158198, 0.001358292841935711, 0.00128131248573108, 0.001350880520279107, 0.0013087034913979228, 0.0013300486771073742, 0.0013088021202872298, 0.0011964564863391801, 0.0011331788608605873, 0.0011301651829158223]","[0.15622011523500776, 0.04979921419251021, 0.6648919206702851, 0.03466093090453922, 0.033967050989784475, 0.01741017511646426, 0.05127906795120612, 0.0294638725966012, 0.7186193340437891, -0.05257028925212182, 0.0750495476264496, 0.008265170088519222]","[0.0,0.0,0.0,0.0,1.0,0.0]"
track_1198188,/content/drive/MyDrive/MTG_Instrument_old/dataset/logmel_songs/88/1198188.npy,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.6176391142995976, 0.4863266129784279, 0.0033727894725074743, 0.6175576037821306, 0.0004980303107882895, 0.007221439736488343, 0.02122854263001074, 0.009111121153400034, 0.005789348157951224, 5.449007082179482e-05]","[0.359437324425491, 0.10468602566479498, 0.42109235580463195, 0.07397418463428167, 0.004282241075849653, 5.710865200798208e-06, 0.8223355179610919, 0.000506379659383256, 2.139891659796007e-06, -0.016058612780372718, 0.010295743389263519, 0.0006160746282897193, 0.0053354542091728525, 0.001136452802164543, 0.0013227183710965483, 4.139289094761006e-05, 0.0005413418771103644, -0.00010455154649873019, 0.0009841671264990523, -0.00013832801696964578, 0.0008936275470493725, -0.00012237833833283763, 0.01887875098476889, 0.004621525461716637, 0.0024486414503683946, 0.0020595003076636057, 0.0013967504231336455, 0.0013281720722681822, 0.001373846065145811, 0.0013945565782839937, 0.0013681333568390777, 0.0013072438453443035, 0.0010319303395588974, 0.000998184725073598, 0.0011520733469925835]","[0.19479709149838892, 0.0796062861343036, 0.6601739625236114, 0.060697745603314604, 0.03575687049731164, 0.020085605514872217, 0.057733187154960675, 0.03764746172085555, 0.7060950066354017, -0.022186618469847538, 0.09129488475796532, 0.048718140450167216]","[0.0,1.0,0.0,0.0,0.0,0.0]"
track_0245962,/content/drive/MyDrive/MTG_Instrument_old/dataset/logmel_songs/62/245962.npy,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.3219564951788149, 0.8885380893331333, 0.0017423440924129016, 0.32649693571296234, 0.0010951949173152852, 0.0011783347865588461, 0.01500412684467815, 0.003472919475426361, 0.001010286222829019, 2.5068419958236224e-05]","[0.40769346524724054, 0.0980178405795093, 0.3548276037712097, 0.044356837474721834, 0.002630471460064066, 2.8893186913210304e-08, 0.8343346525066938, -0.00033845101362857486, 1.5431804342357105e-06, 0.005565043317989421, 0.006683897736083982, 0.0008233255105145004, 0.0039991165587809005, 0.0017345515144640495, 0.0015541490267104764, -0.0009871503560172025, 0.0015318211530163228, 0.00016021288293746903, 0.0006244558945067099, 0.00026207335535658225, 0.0002935791584098128, -0.0006274724501135432, 0.00770528614723623, 0.0032980443929075745, 0.0018463441568024432, 0.001576606545490223, 0.0015034872920866066, 0.0010728447413506047, 0.001106090728112692, 0.0009514588370888592, 0.0009155703227328125, 0.0008389523631299015, 0.000819366321589856, 0.0007663773889191998, 0.0007274655783453662]","[0.1337833576401266, 0.05256654014517927, 0.6842350450431245, 0.03938739866288572, 0.024961371347993234, 0.009120323773175884, 0.037517107480666154, 0.016235458804664635, 0.7090274090765409, 0.055562900152169886, 0.033300577486601354, -0.017787721592046207]","[0.0,0.0,1.0,0.0,0.0,1.0]"
track_0719849,/content/drive/MyDrive/MTG_Instrument_old/dataset/logmel_songs/49/719849.npy,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.3217760116687001, 0.8902750402894349, 0.0005221287738247912, 0.3217861591407596, 0.0003265993803069221, 0.002219773578310447, 0.01750704636499102, 0.0032620615937130016, 0.0013303372458694353, 6.739333745565077e-05]","[0.35816331374608, 0.1606029859763388, 0.4581620372667226, 0.12551865865834713, 0.004706317233703796, 2.108125428081725e-06, 0.7863673407790396, -4.6809868699179646e-05, 3.7833203303340924e-06, -0.026514030527043833, 0.02331720359839252, 0.00341315915717742, 0.006842151445069944, 0.0023478482890707006, 0.0006805673769490899, -0.0013760613494540569, 0.000820041933922673, -0.0011684460996577272, 0.0006824074388591141, -0.0003555711431449988, -0.00023450927351512186, -0.0008008582017434128, 0.019636284704336596, 0.007966605785381721, 0.006245032230284548, 0.003632527187662395, 0.0026211990709904508, 0.0026352562397205267, 0.0022727394783856377, 0.0023169982154894013, 0.002282670445132056, 0.0020179013515230905, 0.002017345043514194, 0.0018577976608252199, 0.001960758665477071]","[0.15875596469400716, 0.04945202280304392, 0.6744356774679101, 0.03376465754990764, 0.03424292564857492, 0.019438077241206407, 0.05246340109178755, 0.03271528164297629, 0.7069569098521427, 0.05380609756790035, 0.09052151022057003, -0.009852853749312331]","[0.0,0.0,0.0,0.0,1.0,0.0]"
track_0736523,/content/drive/MyDrive/MTG_Instrument_old/dataset/logmel_songs/23/736523.npy,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.2596388960975228, 0.9297188340368931, 0.00038127761418585936, 0.2610975093689947, 0.0007027102159640836, 0.0009625806998943916, 0.005767081644080005, 0.0018130007252524817, 0.0007152735083652554, 1.7811957095276252e-05]","[0.39354616310991875, 0.17610717865943945, 0.42566743195054746, 0.08589745670776659, 0.004596093946959196, 3.8940351399622686e-08, 0.7902560911151374, 0.00024079967767804577, 2.449834906554402e-06, -0.013289639174570555, 0.01713180617197007, 0.00020669177634824288, 0.0038459501653537328, -0.000394216534024615, 0.0018901461626164877, -0.0008984641528444043, -0.00036104488079093117, -0.0021051889494531307, -0.0003567983406875487, -0.0016249281872565222, 6.295160014184879e-05, -0.0008502757588295505, 0.01974493331506645, 0.0063945941373673544, 0.004546915194386129, 0.003267141782812322, 0.0020503628287182143, 0.0019696508881795797, 0.001566079054769835, 0.0017350214406781342, 0.0029566622805613134, 0.0025661732958947568, 0.0031554553869925814, 0.0022286605372419856, 0.002689452633228596]","[0.16840537662665453, 0.06803993732256158, 0.6422730127867902, 0.07470356777380398, 0.03072418466416269, 0.0247514746377942, 0.04648158023333613, 0.03739790517930644, 0.7210193149444052, 0.017537720079922173, -0.1534925434346414, 0.00792548980650788]","[0.0,1.0,0.0,1.0,0.0,0.0]"
track_1129658,/content/drive/MyDrive/MTG_Instrument_old/dataset/logmel_songs/58/1129658.npy,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]","[0.2518589500500903, 0.9338997388372727, 0.0003839792785146044, 0.25365178091876545, 0.0013039896618783622, 0.0007762520496435441, 0.006983147440403226, 0.0025052018310645404, 0.0012761637586760416, 4.172986505613386e-05]","[0.3637342503531271, 0.1715947378702397, 0.5284568000242549, 0.18443696431044032, 0.008548085055909916, 1.1586886635522428e-10, 0.7195839769991438, 0.0017447388424375874, 5.2386856550608564e-06, -0.06075917259656081, 0.045406769336551446, 0.0029068987688790526, 0.008579914675248669, 0.006510732356433275, 0.005433069363248846, 5.882441452743288e-05, 2.647626574660633e-05, -0.0015303962074910936, -0.001211078631295196, -0.0020487010002782067, 0.0010259218903943233, -0.0019107472947147448, 0.0301516674884265, 0.01003581974325075, 0.007076128122390265, 0.004728983826846044, 0.004963098301684386, 0.0036421996247150215, 0.003138352670868267, 0.002755925245664529, 0.002797966387041903, 0.0026116544042629045, 0.0025399135746754734, 0.002612815591857181, 0.0024820093674822402]","[0.25067276397908594, 0.10192375892756747, 0.5825781818062569, 0.09007979349817083, 0.03390551909325456, 0.021305335598985817, 0.05414740930228757, 0.03640195624506961, 0.7123997638008565, 0.16897897151912028, -0.12174298705400098, -0.15004595487120276]","[0.0,0.0,0.0,0.0,0.0,1.0]"
track_1379947,/content/drive/MyDrive/MTG_Instrument_old/dataset/logmel_songs/47/1379947.npy,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.23614848623598594, 0.9418232483173586, 0.0008369900375362916, 0.2387351409383834, 0.0012091380535038648, 0.0014143250337311176, 0.013488973290650054, 0.004384021369220536, 0.0017488876336676086, 1.8008560691903755e-05]","[0.3439150855863961, 0.1829132799778252, 0.49372741616026516, 0.18024975020922337, 0.00578141557700073, 2.444194997866532e-08, 0.7539603840710765, 0.0002640389511041753, 6.689768808732572e-06, -0.042401521133071995, 0.030367470992925666, 0.006159595609949151, 0.008757978224825588, 0.004686580363263181, 0.0016522890840563844, 0.00031224225883105973, 0.0006116069126057583, -0.0002501290901829374, 3.985416283918868e-05, -0.000441753181929995, 0.0007090948824065927, -0.0006788489404219542, 0.020672263666347633, 0.008254203485960121, 0.008642578304258573, 0.005235775661810108, 0.003395632536028377, 0.0033450110851204144, 0.0024089276840085355, 0.0027366762731846836, 0.002335234887698682, 0.0021404577217950804, 0.002201430022503941, 0.0019690960696853743, 0.0022805472388346963]","[0.12709141601298768, 0.03258527543325557, 0.682563916269554, 0.021519136120381338, 0.017360765032370055, 0.009340280368051498, 0.02354866903535832, 0.01569625381235759, 0.7147799103016027, 0.05551364640769061, -0.0011995669243911767, 0.03530333585032562]","[0.0,0.0,0.0,0.0,0.0,1.0]"
track_0846411,/content/drive/MyDrive/MTG_Instrument_old/dataset/logmel_songs/11/846411.npy,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]","[0.25544409381025396, 0.9324333668977416, 0.00012375883566483964, 0.25546119641034015, 0.00020274696919338596, 0.001851168029243982, 0.0067147408654387244, 0.002484777717485327, 0.0010764107949862265, 6.775505230483843e-05]","[0.38732251121645767, 0.10534514196170079, 0.4377520975517451, 0.08996845182389328, 0.005355471449778028, 1.0972691388320798e-06, 0.7983244921581513, 0.00045843019500929014, 1.926141379140455e-06, -0.031039016902048813, 0.019952978865667638, -0.002337600054758176, 0.0072944840370016105, 0.002381498414565896, 0.0022007707791184363, -0.0014178586628856536, 0.0007878562099959783, -0.0010185754679422647, 0.0007699352545823012, -0.0009052010341883466, 0.0009022232427858843, -0.00022357353165421758, 0.016989484286157677, 0.0054899870423339376, 0.004131343630094541, 0.0026551719944675474, 0.002529227622047466, 0.0021659214359282734, 0.002106104239791428, 0.0018099855047710653, 0.0018309121245903026, 0.0016145967214725957, 0.0014704099281637117, 0.0017402724324660675, 0.0014284425872185032]","[0.1795464402735544, 0.048978730619793624, 0.6575582341616926, 0.03519307060272687, 0.02436888895621339, 0.011695719201586493, 0.03751669246588294, 0.020261564626405208, 0.7068477328131332, 0.16953356883127133, -0.009737768807181378, 0.026906094166719553]","[0.0,0.0,0.0,0.0,1.0,0.0]"
